ID,Cycle,value,SampleID,Sample,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
CT1303,13,11522.42991,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,13,11417.08311,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,13,10162.90244,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,14,13356.20982,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,14,11906.32628,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,14,13490.96881,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,14,12607.37345,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,14,12870.07079,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,14,11171.0649,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,15,14107.70817,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,15,12538.25297,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,15,14255.41791,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,15,13274.40378,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,15,13797.94211,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,15,11792.42627,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,16,14574.08256,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,16,12918.79617,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,16,14719.65705,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,16,13679.82543,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,16,14368.55969,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,16,12174.07037,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,17,14877.45157,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,17,13153.92543,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,17,15011.19823,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,17,13920.12029,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,17,14713.51325,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,17,12400.25544,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,18,15072.33237,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,18,13296.76594,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,18,15189.77707,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,18,14059.28376,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,18,14929.72736,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,18,12537.12402,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,19,15202.39683,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,19,13378.14698,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,19,15301.27743,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,19,14127.34081,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,19,15044.16345,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
